Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
socketio,connect,50,0,310.0,305.5187940597534,49.535274505615234,458.39476585388184,0.0,3.0661319205527913,0.0,310,350,370,440,460,460,460,460,460,460,460
socketio,create_source,50,0,110.0,110.00658512115479,10.595321655273438,164.36147689819336,0.0,3.0661319205527913,0.0,110,150,160,160,160,160,160,160,160,160,160
socketio,init_audio,50,0,100.0,105.23969173431396,12.209415435791016,206.93182945251465,0.0,3.0661319205527913,0.0,110,110,130,150,210,210,210,210,210,210,210
socketio,stream→first_chunk,50,0,180.0,166.6698932647705,30.579328536987305,272.19486236572266,0.0,3.0661319205527913,0.0,190,200,230,250,270,270,270,270,270,270,270
socketio,update_position,500,0,110.0,359.23048400878906,11.817693710327148,4312.225818634033,0.0,30.661319205527914,0.0,110,150,160,170,210,3000,4100,4300,4300,4300,4300
http,upload_audio,50,0,200.0,209.17359352111816,86.83204650878906,450.9005546569824,363.0,3.0661319205527913,0.0,200,230,250,270,290,330,450,450,450,450,450
,Aggregated,750,0,130.0,299.2608931859334,10.595321655273438,4312.225818634033,24.2,45.99197880829187,0.0,130,160,180,190,310,1800,3800,4300,4300,4300,4300
