Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
socketio,connect,100,0,540.0,518.4226632118225,57.45840072631836,795.0265407562256,0.0,3.129030974430329,0.0,540,600,710,730,750,790,790,800,800,800,800
socketio,create_source,100,0,180.0,175.7600736618042,18.309831619262695,278.49817276000977,0.0,3.129030974430329,0.0,190,200,240,250,270,270,280,280,280,280,280
socketio,init_audio,100,0,190.0,189.93205070495605,15.71512222290039,334.0792655944824,0.0,3.129030974430329,0.0,190,260,280,280,290,330,330,330,330,330,330
socketio,stream→first_chunk,100,0,300.0,295.39021253585815,21.372318267822266,545.1884269714355,0.0,3.129030974430329,0.0,310,360,380,420,480,520,530,550,550,550,550
socketio,update_position,1000,110,150.0,852.88587641716,10.484695434570312,5084.843397140503,0.0,31.29030974430329,3.4419340718733618,150,200,250,350,5000,5000,5000,5000,5100,5100,5100
http,upload_audio,100,0,250.0,260.2097725868225,105.20768165588379,540.4210090637207,363.0,3.129030974430329,0.0,250,280,290,330,350,390,400,540,540,540,540
,Aggregated,1500,110,180.0,664.5715691248575,10.484695434570312,5084.843397140503,24.2,46.93546461645494,3.4419340718733618,180,250,310,370,2400,5000,5000,5000,5100,5100,5100
