Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
socketio,connect,10,0,95,182.8571319580078,47.61648178100586,1104.0265560150146,0.0,1.2474265513371465,0.0,100,100,100,100,1100,1100,1100,1100,1100,1100,1100
socketio,create_source,10,0,33,33.469319343566895,11.07025146484375,72.13854789733887,0.0,1.2474265513371465,0.0,34,35,37,69,72,72,72,72,72,72,72
socketio,init_audio,10,0,29,27.901101112365723,9.288787841796875,50.962209701538086,0.0,1.2474265513371465,0.0,29,29,31,51,51,51,51,51,51,51,51
socketio,stream→first_chunk,10,0,45,42.78440475463867,21.92234992980957,56.92315101623535,0.0,1.2474265513371465,0.0,45,49,50,55,57,57,57,57,57,57,57
socketio,update_position,100,0,24,26.701884269714355,9.349584579467773,45.18604278564453,0.0,12.474265513371463,0.0,24,29,31,32,43,44,45,45,45,45,45
http,upload_audio,10,0,110.0,101.95634365081787,63.83037567138672,122.8187084197998,363.0,1.2474265513371465,0.0,110,110,110,120,120,120,120,120,120,120,120
,Aggregated,150,0,28,43.732476234436035,9.288787841796875,1104.0265560150146,24.2,18.711398270057195,0.0,29,35,44,45,72,110,120,120,1100,1100,1100
